Month,Mrtg Payment,Interest,Principal,PMI-Range,Property Tax Avg,House Insur Avg,Utilities,Car Insurance,Misc Bill,Internet,Totals,Loan Balance,Total Principal Payed,Total Interest,Month Total,Minimum Income 28% model
1,1390,1191,199,$0 - $0,292.5,108.92,300,30,30,30,,219801,199,1191,2181.42,76230.5
2,1390,1190,200,$0 - $0,292.5,108.92,300,30,30,30,,219601,399,2381,2181.42,76230.5
3,1390,1189,201,$0 - $0,292.5,108.92,300,30,30,30,,219400,600,3570,2181.42,76230.5
4,1390,1188,202,$0 - $0,292.5,108.92,300,30,30,30,,219198,802,4758,2181.42,76230.5
5,1390,1187,203,$0 - $0,292.5,108.92,300,30,30,30,,218995,1005,5945,2181.42,76230.5
6,1390,1186,204,$0 - $0,292.5,108.92,300,30,30,30,,218791,1209,7131,2181.42,76230.5
7,1390,1185,205,$0 - $0,292.5,108.92,300,30,30,30,,218586,1414,8316,2181.42,76230.5
8,1390,1184,206,$0 - $0,292.5,108.92,300,30,30,30,,218380,1620,9500,2181.42,76230.5
9,1390,1182,208,$0 - $0,292.5,108.92,300,30,30,30,,218172,1828,10682,2181.42,76230.5
10,1390,1181,209,$0 - $0,292.5,108.92,300,30,30,30,,217963,2037,11863,2181.42,76230.5
11,1390,1180,210,$0 - $0,292.5,108.92,300,30,30,30,,217753,2247,13043,2181.42,76230.5
12,1390,1179,211,$0 - $0,292.5,108.92,300,30,30,30,,217542,2458,14222,2181.42,76230.5
13,1390,1178,212,$0 - $0,292.5,108.92,300,30,30,30,,217330,2670,15400,2181.42,76230.5
14,1390,1177,213,$0 - $0,292.5,108.92,300,30,30,30,,217117,2883,16577,2181.42,76230.5
15,1390,1176,214,$0 - $0,292.5,108.92,300,30,30,30,,216903,3097,17753,2181.42,76230.5
16,1390,1174,216,$0 - $0,292.5,108.92,300,30,30,30,,216687,3313,18927,2181.42,76230.5
17,1390,1173,217,$0 - $0,292.5,108.92,300,30,30,30,,216470,3530,20100,2181.42,76230.5
